Statement Parser 2 Failure Analysis [host = bheema, date = 2018-10-16]
Summary
Total Attempts - 25850
SP2 failure - 1229 times
When SP2 failed - SP1 succeeded 311 times, failed 829 times, unknown status (timed out?) 89 times
Nature of SP2 failure - Total: 1229, Unidentified: 901, Unimplemented: 0, Parser Failure: 319, Itemizer Failure: 0, Tabula Failure: 2, Internal Error: 1, Others: 6
Details
Data dir & files	Declared inst_id	SP2 Failure	SP1 Result
60393750 Image Statement	30	Unidentified	SP1 succeeded
60393880 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60393890 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60393940 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60406910 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60409150 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60410850 Image Statement Password	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60411620 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60413550 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60414080 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60415020 Image Statement Password	11	Unidentified	SP1 possibly timed out
60415820 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60418670 Statement	174	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60419130 Image Statement	90	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60419640 Image Statement	45	Unidentified	SP1 succeeded
60419720 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60425170 Duplicate	20	Unidentified	SP1 succeeded
60426580 Image Statement	11	Unidentified	SP1 possibly timed out
60427390 Image Statement	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60429230 Image Statement	11	SP2 Parser failure	SP1 succeeded
60430430 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434080 Image Statement	8	Unidentified	SP1 succeeded
60436480 Duplicate	20	Unidentified	SP1 succeeded
60436800 Statement	44	Unidentified	SP1 succeeded
60438610 Duplicate	11	Unidentified	SP1 possibly timed out
60439910 Statement Password	191	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
